country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,home_score_period1,home_score_period2,home_score_normaltime,home_score_display,home_score_current,away_score_period1,away_score_period2,away_score_normaltime,away_score_display,away_score_current,start_timestamp,status
USA,"USL, League Two",2019,1,8211385,Charlotte Eagles,23633,Discoveries SC,316286,0,0,0,0,0,0,0,0,0,0,1558135800,Ended
USA,"USL, League Two",2019,1,8211447,Discoveries SC,316286,Charlotte Eagles,23633,0,3,3,3,3,2,0,2,2,2,1558827000,Ended
USA,"USL, League Two",2019,1,8226450,South Georgia Tormenta 2,314334,Charlotte Eagles,23633,3,0,3,3,3,0,0,0,0,0,1559347200,Ended
USA,"USL, League Two",2019,1,8211534,Peachtree City Moba,224815,Charlotte Eagles,23633,0,0,0,0,0,0,0,0,0,0,1559950200,Ended
USA,"USL, League Two",2019,1,8211569,Dalton Red Wolves SC,316285,Charlotte Eagles,23633,4,3,7,7,7,1,1,2,2,2,1560121200,Ended
USA,"USL, League Two",2019,1,8211584,Charlotte Eagles,23633,South Carolina United FC,224816,1,1,2,2,2,0,1,1,1,1,1560546000,Ended
USA,"USL, League Two",2019,1,8211620,Charlotte Eagles,23633,South Georgia Tormenta FC,253417,2,1,3,3,3,1,2,3,3,3,1560898800,Ended
USA,"USL, League Two",2019,1,8211656,South Carolina United FC,224816,Charlotte Eagles,23633,1,0,1,1,1,0,1,1,1,1,1561244400,Ended
USA,"USL, League Two",2019,1,8211710,Discoveries SC,316286,Charlotte Eagles,23633,0,0,0,0,0,0,1,1,1,1,1561851000,Ended
USA,"USL, League Two",2019,1,8211739,Dalton Red Wolves SC,316285,Charlotte Eagles,23633,1,2,3,3,3,0,0,0,0,0,1562194800,Ended
USA,"USL, League Two",2019,1,8211758,Charlotte Eagles,23633,Peachtree City Moba,224815,,,2,2,2,,,1,1,1,1562454000,Ended
USA,"USL, League Two",2019,1,8211786,Charlotte Eagles,23633,South Carolina United FC,224816,1,2,3,3,3,1,2,3,3,3,1562713200,Ended
USA,"USL, League Two",2019,1,8211807,Charlotte Eagles,23633,Dalton Red Wolves SC,316285,1,4,5,5,5,1,3,4,4,4,1562965200,Ended
USA,"USL, League Two",2019,1,8211836,Charlotte Eagles,23633,Peachtree City Moba,224815,2,1,3,3,3,0,0,0,0,0,1563138000,Ended
USA,"USL, League Two",2021,1,9490420,Charlotte Independence II,380880,Charlotte Eagles,23633,1,,1,1,1,1,,1,1,1,1621033200,Ended
USA,"USL, League Two",2021,1,9490779,Charlotte Eagles,23633,Southern SA Kings,380882,0,,0,0,0,0,,2,2,2,1621378800,Ended
USA,"USL, League Two",2021,1,9490687,East Atlanta FC,380881,Charlotte Eagles,23633,2,,3,3,3,2,,5,5,5,1622331000,Ended
USA,"USL, League Two",2021,1,9490735,South Carolina United FC,224816,Charlotte Eagles,23633,2,,3,3,3,0,,2,2,2,1622590200,Ended
USA,"USL, League Two",2021,1,9490795,Dalton Red Wolves SC,316285,Charlotte Eagles,23633,0,0,0,0,0,1,0,1,1,1,1622935800,Ended
USA,"USL, League Two",2021,1,9490585,Peachtree City Moba,224815,Charlotte Eagles,23633,0,,1,1,1,0,,1,1,1,1623281400,Ended
USA,"USL, League Two",2021,1,9490626,Charlotte Eagles,23633,Charlotte Independence II,380880,1,2,3,3,3,1,3,4,4,4,1623443400,Ended
USA,"USL, League Two",2021,1,9490637,Charlotte Eagles,23633,Asheville City SC,313610,0,,1,1,1,0,,0,0,0,1623888000,Ended
USA,"USL, League Two",2021,1,9490537,Charlotte Eagles,23633,South Georgia Tormenta 2,314334,0,,0,0,0,1,,3,3,3,1624402800,Ended
USA,"USL, League Two",2021,1,9490553,Southern SA Kings,380882,Charlotte Eagles,23633,0,,0,0,0,0,,2,2,2,1624577400,Ended
USA,"USL, League Two",2021,1,9490562,Charlotte Eagles,23633,Dalton Red Wolves SC,316285,1,,2,2,2,0,,0,0,0,1624921200,Ended
USA,"USL, League Two",2021,1,9490440,Charlotte Eagles,23633,South Carolina United FC,224816,0,,0,0,0,2,,2,2,2,1625175000,Ended
USA,"USL, League Two",2021,1,9490486,Charlotte Eagles,23633,East Atlanta FC,380881,1,,1,1,1,1,,2,2,2,1625612400,Ended
USA,"USL, League Two",2021,1,9490495,Asheville City SC,313610,Charlotte Eagles,23633,4,,4,4,4,0,,2,2,2,1625873400,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10124518,Charlotte Independence II,380880,Charlotte Eagles,23633,0,,1,1,1,1,,2,2,2,1652655600,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10124557,West Virginia United,253410,Charlotte Eagles,23633,1,5,6,6,6,0,0,0,0,0,1653174000,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10124590,Wake FC,316192,Charlotte Eagles,23633,2,,2,2,2,1,,3,3,3,1653519600,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10124621,Charlotte Eagles,23633,North Carolina FC U23,253200,1,2,3,3,3,1,0,1,1,1,1653778800,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10112966,Charlotte Eagles,23633,Charlotte Independence II,380880,1,2,3,3,3,2,0,2,2,2,1654124400,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10112858,Salem City FC,316193,Charlotte Eagles,23633,2,,3,3,3,0,,1,1,1,1654385400,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10112747,Charlotte Eagles,23633,Tobacco Road FC,253201,3,2,5,5,5,0,0,0,0,0,1654729200,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10113251,Charlotte Eagles,23633,Salem City FC,316193,0,,1,1,1,3,,3,3,3,1655334000,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10112933,Charlotte Eagles,23633,Wake FC,316192,4,2,6,6,6,1,0,1,1,1,1655852400,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10112801,Charlotte Eagles,23633,West Virginia United,253410,1,0,1,1,1,0,1,1,1,1,1656111600,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10113083,Charlotte Independence II,380880,Charlotte Eagles,23633,2,0,2,2,2,5,1,6,6,6,1657148400,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10113194,Charlotte Eagles,23633,West Virginia United,253410,0,,3,3,3,1,,1,1,1,1657407600,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10113106,North Carolina FC U23,253200,Charlotte Eagles,23633,0,,1,1,1,0,,1,1,1,1657666800,Ended
USA,"USL League Two, South Atlantic Division",2022,1,10113089,Tobacco Road FC,253201,Charlotte Eagles,23633,2,0,2,2,2,1,2,3,3,3,1658012400,Ended
USA,"USL, League Two",2023,1,11105766,Charlotte Eagles,23633,North Carolina FC U23,253200,,3,3,3,3,,0,0,0,0,1684278000,Ended
USA,"USL, League Two",2023,1,11105853,West Virginia United,253410,Charlotte Eagles,23633,1,1,2,2,2,0,2,2,2,2,1684623600,Ended
USA,"USL, League Two",2023,1,11105708,Charlotte Eagles,23633,Tobacco Road FC,253201,1,3,4,4,4,0,0,0,0,0,1684969200,Ended
USA,"USL, League Two",2023,1,11106030,Charlotte Eagles,23633,Salem City FC,316193,2,1,3,3,3,1,3,4,4,4,1685228400,Ended
USA,"USL, League Two",2023,1,11105686,Charlotte Independence II,380880,Charlotte Eagles,23633,1,1,2,2,2,2,4,6,6,6,1685811600,Ended
USA,"USL, League Two",2023,1,11106158,North Carolina FC U23,253200,Charlotte Eagles,23633,0,1,1,1,1,2,0,2,2,2,1686088800,Ended
USA,"USL, League Two",2023,1,11106436,Salem City FC,316193,Charlotte Eagles,23633,1,1,2,2,2,0,2,2,2,2,1686438000,Ended
USA,"USL, League Two",2023,1,11105820,Charlotte Eagles,23633,Charlotte Independence II,380880,3,1,4,4,4,0,1,1,0,0,1686783600,Ended
