country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,home_score_period1,home_score_period2,home_score_normaltime,home_score_display,home_score_current,away_score_period1,away_score_period2,away_score_normaltime,away_score_display,away_score_current,start_timestamp,status
USA,USL Championship,2016,1,7226068,Charleston Battery,22004,FC Cincinnati,215167,0,1,1,1,1,0,0,0,0,0,1459035000,Ended
USA,USL Championship,2016,1,7226070,Orlando City B,220945,Charleston Battery,22004,0,0,0,0,0,0,0,0,0,0,1459553400,Ended
USA,USL Championship,2016,1,7226078,Charleston Battery,22004,Wilmington Hammerheads FC,36097,1,1,2,2,2,1,0,1,1,1,1460244600,Ended
USA,USL Championship,2016,1,7052017,Charlotte Independence,197072,Charleston Battery,22004,2,1,3,3,3,0,2,2,2,2,1460847600,Ended
USA,USL Championship,2016,1,7226089,Philadelphia Union II,221835,Charleston Battery,22004,0,0,0,0,0,0,0,0,0,0,1461524400,Ended
USA,USL Championship,2016,1,7226093,Charleston Battery,22004,Pittsburgh Riverhounds,23635,0,1,1,1,1,1,0,1,1,1,1462059000,Ended
USA,USL Championship,2016,1,7226096,Rochester Rhinos,22013,Charleston Battery,22004,2,1,3,3,3,1,1,2,2,2,1462575900,Ended
USA,USL Championship,2016,1,7226101,Penn FC,36098,Charleston Battery,22004,1,1,2,2,2,2,1,3,3,3,1462834800,Ended
USA,USL Championship,2016,1,7071915,Charleston Battery,22004,Toronto FC II,217784,1,1,2,2,2,0,0,0,0,0,1463268600,Ended
USA,USL Championship,2016,1,7072518,Wilmington Hammerheads FC,36097,Charleston Battery,22004,0,0,0,0,0,1,0,1,1,1,1463871600,Ended
USA,USL Championship,2016,1,7078167,Charleston Battery,22004,Louisville City FC,197070,0,0,0,0,0,2,0,2,2,2,1464478200,Ended
USA,USL Championship,2016,1,7081124,Pittsburgh Riverhounds,23635,Charleston Battery,22004,0,1,1,1,1,2,0,2,2,2,1465081200,Ended
USA,USL Championship,2016,1,7082596,Charleston Battery,22004,Orlando City B,220945,1,0,1,1,1,2,0,2,2,2,1465678800,Ended
USA,USL Championship,2016,1,7087252,Charleston Battery,22004,Penn FC,36098,0,1,1,1,1,0,0,0,0,0,1466292600,Ended
USA,USL Championship,2016,1,7094016,Toronto FC II,217784,Charleston Battery,22004,0,0,0,0,0,0,1,1,1,1,1466983800,Ended
USA,USL Championship,2016,1,7105241,Charleston Battery,22004,Richmond Kickers,23841,2,0,2,2,2,0,0,0,0,0,1467502200,Ended
USA,USL Championship,2016,1,7111710,Louisville City FC,197070,Charleston Battery,22004,0,1,1,1,1,0,1,1,1,1,1468107000,Ended
USA,USL Championship,2016,1,7115193,Charleston Battery,22004,Orlando City B,220945,0,0,0,0,0,0,0,0,0,0,1468452600,Ended
USA,USL Championship,2016,1,7130828,New York Red Bulls II,220949,Charleston Battery,22004,0,2,2,2,2,2,1,3,3,3,1469304000,Ended
USA,USL Championship,2016,1,7144882,FC Cincinnati,215167,Charleston Battery,22004,0,1,1,1,1,0,1,1,1,1,1469919600,Ended
USA,USL Championship,2016,1,7149079,Charleston Battery,22004,Charlotte Independence,197072,1,0,1,1,1,0,1,1,1,1,1470267000,Ended
USA,USL Championship,2016,1,7164301,Charleston Battery,22004,FC Montreal,217783,0,1,1,1,1,1,2,3,3,3,1471131000,Ended
USA,USL Championship,2016,1,7168194,Richmond Kickers,23841,Charleston Battery,22004,,,,0,0,,,,0,0,1471474800,Canceled
USA,USL Championship,2016,1,7174558,Wilmington Hammerheads FC,36097,Charleston Battery,22004,1,0,1,1,1,1,0,1,1,1,1471734000,Ended
USA,USL Championship,2016,1,7183155,Charleston Battery,22004,Charlotte Independence,197072,0,1,1,1,1,0,0,0,0,0,1472340600,Ended
USA,USL Championship,2016,1,7192051,Richmond Kickers,23841,Charleston Battery,22004,0,1,1,1,1,0,1,1,1,1,1472684400,Ended
USA,USL Championship,2016,1,7193893,Charleston Battery,22004,Rochester Rhinos,22013,1,0,1,1,1,1,1,2,2,2,1472945400,Ended
USA,USL Championship,2016,1,7197521,FC Montreal,217783,Charleston Battery,22004,1,1,2,2,2,1,0,1,1,1,1473271200,Ended
USA,USL Championship,2016,1,7202005,Charleston Battery,22004,Philadelphia Union II,221835,2,0,2,2,2,1,0,1,1,1,1473550200,Ended
USA,USL Championship,2016,1,7212151,Richmond Kickers,23841,Charleston Battery,22004,1,0,1,1,1,0,2,2,2,2,1474146000,Ended
USA,USL Championship,2016,1,7223370,Charleston Battery,22004,New York Red Bulls II,220949,0,1,1,1,1,1,1,2,2,2,1474759800,Ended
USA,USL Championship,2016,4,7234380,FC Cincinnati,215167,Charleston Battery,22004,1,0,1,1,1,1,1,2,2,2,1475438400,Ended
USA,USL Championship,2016,3,7242146,Louisville City FC,197070,Charleston Battery,22004,0,1,1,1,1,0,0,0,0,0,1475969400,Ended
USA,USL Championship,2017,1,7327242,Charleston Battery,22004,FC Cincinnati,215167,1,1,2,2,2,0,1,1,1,1,1490482800,Ended
USA,USL Championship,2017,1,7327351,Charlotte Independence,197072,Charleston Battery,22004,0,0,0,0,0,0,2,2,2,2,1491087600,Ended
USA,USL Championship,2017,1,7327367,Charleston Battery,22004,Pittsburgh Riverhounds,23635,1,0,1,1,1,0,2,2,2,2,1491692400,Ended
USA,USL Championship,2017,1,7327381,Charleston Battery,22004,Rochester Rhinos,22013,4,1,5,5,5,0,0,0,0,0,1492297200,Ended
USA,USL Championship,2017,1,7327429,FC Tampa Bay Rowdies,41617,Charleston Battery,22004,1,1,2,2,2,2,1,3,3,3,1492903800,Ended
USA,USL Championship,2017,1,7327409,Charleston Battery,22004,Ottawa Fury,148990,1,1,2,2,2,1,1,2,2,2,1493506800,Ended
