country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,home_score_period1,home_score_period2,home_score_normaltime,home_score_display,home_score_current,away_score_period1,away_score_period2,away_score_normaltime,away_score_display,away_score_current,start_timestamp,status
USA,USL W League,2025,1,13506141,Erie Sports Center,1077198,Pittsburgh Steel City,286958,0,0,0,0,0,2,1,3,3,3,1748124000,Ended
USA,USL W League,2025,1,13506190,Pittsburgh Steel City,286958,Cleveland Force SC,465505,2,0,2,2,2,1,0,1,1,1,1748718000,Ended
USA,USL W League,2025,1,13506228,Pittsburgh Steel City,286958,FC Buffalo,1077197,0,2,2,2,2,0,2,2,2,2,1748988000,Ended
USA,USL W League,2025,1,13506275,Pittsburgh Steel City,286958,Erie Sports Center,1077198,1,1,2,2,2,1,1,2,2,2,1749333600,Ended
USA,USL W League,2025,1,13506314,Pittsburgh Steel City,286958,Pittsburgh Riveters SC,1077196,0,1,1,1,1,2,1,3,3,3,1749682800,Ended
USA,USL W League,2025,1,13506350,Flower City 1872,1077208,Pittsburgh Steel City,286958,0,0,0,0,0,1,0,1,1,1,1749938400,Ended
USA,USL W League,2025,1,13506399,Cleveland Force SC,465505,Pittsburgh Steel City,286958,0,0,0,0,0,0,0,0,0,0,1750287600,Ended
USA,USL W League,2025,1,13506424,Pittsburgh Steel City,286958,Flower City 1872,1077208,0,3,3,3,3,0,3,3,3,3,1750536000,Ended
USA,USL W League,2025,1,13506488,Pittsburgh Riveters SC,1077196,Pittsburgh Steel City,286958,0,2,2,2,2,1,0,1,1,1,1751065200,Ended
USA,USL W League,2025,1,13506520,FC Buffalo,1077197,Pittsburgh Steel City,286958,2,0,2,2,2,0,0,0,0,0,1751218200,Ended
USA,USL W League,2026,1,15552006,FC Buffalo,1077197,Pittsburgh Steel City,286958,0,0,0,0,0,0,1,1,1,1,1779490800,Ended
USA,USL W League,2026,1,15552082,Pittsburgh Steel City,286958,Pittsburgh Riveters SC,1077196,0,0,0,0,0,1,1,2,2,2,1780005600,Ended
USA,USL W League,2026,1,15552103,Cleveland Force SC,465505,Pittsburgh Steel City,286958,0,3,3,3,3,2,0,2,2,2,1780268400,Ended
USA,USL W League,2026,1,15552142,Erie Sports Center,1077198,Pittsburgh Steel City,286958,1,1,2,2,2,0,1,1,1,1,1780610400,Ended
USA,USL W League,2026,1,15552165,Pittsburgh Steel City,286958,FC Buffalo,1077197,1,0,1,1,1,0,0,0,0,0,1780783200,Ended
USA,USL W League,2026,1,15552196,Pittsburgh Steel City,286958,Cleveland Force SC,465505,1,0,1,1,1,0,0,0,0,0,1781042400,Ended
USA,USL W League,2026,1,15552250,Flower City 1872,1077208,Pittsburgh Steel City,286958,2,0,2,2,2,0,0,0,0,0,1781388000,Ended
USA,USL W League,2026,1,15552312,Pittsburgh Steel City,286958,Flower City 1872,1077208,1,1,2,2,2,0,0,0,0,0,1781820000,Ended
USA,USL W League,2026,1,15552367,Pittsburgh Steel City,286958,Erie Sports Center,1077198,1,3,4,4,4,0,1,1,1,1,1782252000,Ended
USA,USL W League,2026,1,15552422,Pittsburgh Riveters SC,1077196,Pittsburgh Steel City,286958,2,3,5,5,5,0,0,0,0,0,1782601200,Ended
USA,USL W League,2025,1,13506095,New Jersey Copa FC,287400,Morris Elite SC,420047,1,1,2,2,2,0,3,3,3,3,1747598400,Ended
USA,USL W League,2025,1,13732743,New Jersey Copa FC,287400,Cedar Stars Academy,420028,1,0,1,1,1,0,2,2,2,2,1747778400,Ended
USA,USL W League,2025,1,13506177,Cedar Stars Academy,420028,New Jersey Copa FC,287400,0,4,4,4,4,0,1,1,1,1,1748476800,Ended
USA,USL W League,2025,1,13506189,Hudson Valley Crusaders,1077209,New Jersey Copa FC,287400,0,4,4,4,4,1,2,3,3,3,1748718000,Ended
USA,USL W League,2025,1,13506266,New Jersey Copa FC,287400,AC Connecticut,420039,1,0,1,1,1,1,0,1,1,1,1749308400,Ended
USA,USL W League,2025,1,13506303,Paisley Athletic FC,465524,New Jersey Copa FC,287400,1,1,2,2,2,2,1,3,3,3,1749596400,Ended
USA,USL W League,2025,1,13506368,New Jersey Copa FC,287400,Manhattan SC,420020,1,2,3,3,3,0,0,0,0,0,1750021200,Ended
USA,USL W League,2025,1,13506395,Long Island Rough Riders,288326,New Jersey Copa FC,287400,3,0,3,3,3,0,0,0,0,0,1750291200,Ended
USA,USL W League,2025,1,13506423,New Jersey Copa FC,287400,Paisley Athletic FC,465524,1,1,2,2,2,3,1,4,4,4,1750525200,Ended
USA,USL W League,2025,1,13506483,Manhattan SC,420020,New Jersey Copa FC,287400,0,1,1,1,1,2,1,3,3,3,1750982400,Ended
USA,USL W League,2025,1,13506526,New Jersey Copa FC,287400,Cedar Stars Academy,420028,,,,,,,,,,,1751238000,Postponed
USA,USL W League,2026,1,15551968,Morris Elite SC,420047,New Jersey Copa FC,287400,2,1,3,3,3,0,0,0,0,0,1778970600,Ended
USA,USL W League,2026,1,15551994,New Jersey Copa FC,287400,Paisley Athletic FC,465524,,,,,,,,,,,1779319800,Postponed
USA,USL W League,2026,1,15552068,New Jersey Copa FC,287400,Cedar Stars Academy,420028,0,2,2,2,2,0,6,6,6,6,1779924600,Ended
USA,USL W League,2026,1,15552086,New Jersey Copa FC,287400,Long Island Rough Riders,288326,1,0,1,1,1,0,3,3,3,3,1780171200,Ended
